STATE,STATE_NAME
5.0,Arkansas
23.0,Maine
48.0,Texas
4.0,Arizona
6.0,California
39.0,Ohio
34.0,New Jersey
36.0,New York
15.0,Hawaii
13.0,Georgia
26.0,Michigan
28.0,Mississippi
25.0,Massachusetts
2.0,Alaska
1.0,Alabama
47.0,Tennessee
18.0,Indiana
51.0,Virginia
45.0,South Carolina
8.0,Colorado
32.0,Nevada
27.0,Minnesota
41.0,Oregon
40.0,Oklahoma
37.0,North Carolina
12.0,Florida
53.0,Washington
44.0,Rhode Island
10.0,Delaware
29.0,Missouri
17.0,Illinois
42.0,Pennsylvania
20.0,Kansas
11.0,"Washington, D.C. (District of Columbia)"
24.0,Maryland
16.0,Idaho
22.0,Louisiana
9.0,Connecticut
31.0,Nebraska
38.0,North Dakota
49.0,Utah
33.0,New Hampshire
55.0,Wisconsin
21.0,Kentucky
19.0,Iowa
46.0,South Dakota
30.0,Montana
35.0,New Mexico
56.0,Wyoming
54.0,West Virginia
50.0,Vermont
